t_s,mode,success,in_contact,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,x_ref_m,y_ref_m,z_ref_m,lateral_error_m,control_fx_n,control_fy_n,control_fz_n,contact_fx_n,contact_fy_n,contact_fz_n,contact_force_n,total_force_n,penetration_m
0.001,stiff,0,0,0.0024675,-0.0017766,0.004,-0.0325,0.0234,0.0,0.0,0.0,0.004,0.0030405367634679242,-13.0,9.36,-0.0,0.0,0.0,0.0,0.0,16.019038672779338,0.0
0.002,stiff,0,0,0.002404385,-0.0017311572,0.00399946,-0.063115,0.045442800000000005,-0.0005399999999999936,0.0,0.0,0.0039700000000000004,0.0029627643307115806,-12.245999999999999,8.81712,-0.2699999999999968,0.0,0.0,0.0,0.0,15.092349753911748,0.0
0.003,stiff,0,0,0.0023128531700000003,-0.0016652542824,0.00399787996,-0.09153183000000001,0.0659029176,-0.0015800399999999922,0.0,0.0,0.00394,0.0028499757211300223,-11.366732,8.18404704,-0.5200199999999993,0.0,0.0,0.0,0.0,14.016120829714502,0.0
0.004,stiff,0,0,0.00219537318114,-0.0015806686904208,0.00399480656296,-0.11747998886000002,0.0845855919792,-0.0030733970399999845,0.0,0.0,0.00391,0.0027052129146049432,-10.379263544000002,7.473069751680001,-0.7466785199999961,0.0,0.0,0.0,0.0,12.81145628105999,0.0
0.005,stiff,0,0,0.0020546399404238803,-0.0014793407571051936,0.00398983875802096,-0.14073324071612003,0.1013279333156064,-0.004967804939039979,0.0,0.0,0.00388,0.002531796666483629,-9.301300742448,6.6969365345625596,-0.9472039495199972,0.0,0.0,0.0,0.0,11.500449981257637,0.0
0.006,stiff,0,0,0.0018935293763144752,-0.001363341150946422,0.003982632052514129,-0.16111056410940508,0.11599960615877163,-0.007206705506831021,0.0,0.0,0.00385,0.002333270792863486,-8.150929357314018,5.868669137266092,-1.1194502838955207,0.0,0.0,0.0,0.0,10.106042537449406,0.0
0.007,stiff,0,0,0.001715052905697905,-0.0012348380921024915,0.0039729015455704265,-0.17847647061657004,0.1285030588439304,-0.009730506943702808,0.0,0.0,0.00382,0.002113346063249024,-6.94636260286598,5.001381074063505,-1.2619007184358937,0.0,0.0,0.0,0.0,8.652060996183781,0.0
0.008,stiff,0,0,0.0015223121884850078,-0.0010960647757092055,0.003960423719195303,-0.19274071721289715,0.1387733163932859,-0.01247782637512313,0.0,0.0,0.00379,0.001875844447644976,-5.705698638530844,4.108103019742208,-1.3736597157101604,0.0,0.0,0.0,0.0,7.163689579337779,0.0
0.009000000000000001,stiff,0,0,0.001318454745096386,-0.0009492874164693979,0.003945037024151671,-0.20385744338862188,0.14677735923980773,-0.015386695043631698,0.0,0.0,0.00376,0.0016246444269237255,-4.446690470289892,3.201617138608723,-1.4544343342542838,0.0,0.0,0.0,0.0,5.669108190311572,0.0
0.010000000000000002,stiff,0,0,0.001106630974973999,-0.0007967743019812793,0.003926641317595753,-0.21182377012238693,0.15251311448811855,-0.018395706555918403,0.0,0.0,0.0037300000000000002,0.0013636280295849226,-3.186530693506013,2.2943020993243293,-1.5045057561433521,0.0,0.0,0.0,0.0,4.2049182576940085,0.0
0.011000000000000003,stiff,0,0,0.0008899530718324575,-0.0006407662117193694,0.003905196226890243,-0.2166779031415415,0.15600809026190984,-0.02144509070551053,0.0,0.0,0.0037,0.0010966302057417619,-1.9416532076618305,1.3979903095165183,-1.5246920747960633,0.0,0.0,0.0,0.0,2.8370900597745377,0.0
0.012000000000000004,stiff,0,0,0.0006714562843984634,-0.0004834485247668937,0.0038807185291802166,-0.2184967874339941,0.1573176869524757,-0.024477697710026308,0.0,0.0,0.00367,0.0008273910912969005,-0.7275537169810318,0.5238386762263438,-1.5163035022578897,0.0,0.0,0.0,0.0,1.7615100569576734,0.0
0.013000000000000005,stiff,0,0,0.000454062920701819,-0.0003269253029053098,0.003853278649016708,-0.2173933636966444,0.1565232218615839,-0.027439880163508734,0.0,0.0,0.00364,0.0005595116528151983,0.44136949493988364,-0.3177860363567153,-1.4810912267412126,0.0,0.0,0.0,0.0,1.577791563514202,0.0
0.014000000000000005,stiff,0,0,0.00024054944040239996,-0.00017319559708972818,0.003822996386460055,-0.21351348029941905,0.15372970581558165,-0.03028226255665299,0.0,0.0,0.00361,0.000296413137578575,1.55195335889014,-1.1174064184008994,-1.4211911965721273,0.0,0.0,0.0,0.0,2.3826331545724844,0.0
0.015000000000000006,stiff,0,0,3.351692399122355e-05,-2.413218527368125e-05,0.0037900359956502933,-0.2070325164111764,0.14906341181604693,-0.03296039080976141,0.0,0.0,0.00358,4.13006847390783e-05,2.5923855552970627,-1.8665175998138834,-1.3390641265542116,0.0,0.0,0.0,0.0,3.4637326041067653,0.0
0.016000000000000007,stiff,0,0,-0.00016463484919333583,0.00011853709141920144,0.003754600738804173,-0.19815177318455937,0.14266927669288268,-0.035435256846120054,0.0,0.0,0.0035499999999999998,0.0002028686166242491,3.5522972906468127,-2.5576540492657025,-1.2374330181793223,0.0,0.0,0.0,0.0,4.548807618633956,0.0
0.017000000000000008,stiff,0,0,-0.00035172953954507665,0.0002532452684724548,0.0037169270430429608,-0.18709469035174084,0.13470817705325333,-0.037673695761212454,0.0,0.0,0.0035199999999999997,0.0004334130074101115,4.4228331331274156,-3.184439855851736,-1.1192194575461993,0.0,0.0,0.0,0.0,5.563700415476799,0.0
0.01800000000000001,stiff,0,0,-0.0005258324848169032,0.0003785993890681698,0.003677278387469603,-0.17410294527182651,0.12535412059571502,-0.03964865557335785,0.0,0.0,0.00349,0.0006479485315142786,5.196698031965734,-3.7416225830153245,-0.9874799060726978,0.0,0.0,0.0,0.0,6.479238115246586,0.0
0.01900000000000001,stiff,0,0,-0.0006852649752488777,0.0004933907821791914,0.0036359390456339002,-0.15943249043197458,0.11479139311102163,-0.04133934183570266,0.0,0.0,0.00346,0.0008444066261240726,5.868181935940774,-4.2250909938773535,-0.8453431311724058,0.0,0.0,0.0,0.0,7.280216902624914,0.0
0.02000000000000001,stiff,0,0,-0.000828614558933178,0.0005966024824318876,0.0035932078041195866,-0.1433495836843003,0.10321170025269616,-0.04273124151431352,0.0,0.0,0.00343,0.0010210468203368129,6.433162699069706,-4.631877143330184,-0.6959498393054284,0.0,0.0,0.0,0.0,7.957651309427654,0.0
0.02100000000000001,stiff,0,0,-0.0009547414220855535,0.0006874138239015979,0.003549391771655922,-0.12612686315237548,0.09081134146971029,-0.04381603246366452,0.0,0.0,0.0034,0.0011764645971456013,6.8890882127699316,-4.960143513194346,-0.5423954746755029,0.0,0.0,0.0,0.0,8.506277265981753,0.0
0.022000000000000013,stiff,0,0,-0.0010627809379089598,0.0007652022752944504,0.003504800385120416,-0.10803951582340639,0.07778845139285255,-0.044591386535505914,0.0,0.0,0.0033699999999999997,0.0013095945342351015,7.234938931587637,-5.2091560307430935,-0.38767703592069513,0.0,0.0,0.0,0.0,8.923561025768237,0.0
0.023000000000000013,stiff,0,0,-0.0011521425233274965,0.0008295426167957968,0.003459739709298731,-0.08936158541853662,0.06434034150134633,-0.04506067582168508,0.0,0.0,0.0033399999999999997,0.0014197088952105177,7.471172161947906,-5.3792439566024886,-0.23464464308958344,0.0,0.0,0.0,0.0,9.20922022359333,0.0
0.024000000000000014,stiff,0,0,-0.0012225049845989416,0.0008802035889112371,0.0034145071165556833,-0.07036246127144502,0.05066097211544039,-0.04523259274304789,0.0,0.0,0.0033099999999999996,0.0015064118943043036,7.599649658836641,-5.471747754362378,-0.08595846068140212,0.0,0.0,0.0,0.0,9.364939256684385,0.0
0.025000000000000015,stiff,0,0,-0.0012738085703133852,0.0009171421706256366,0.003369386420908244,-0.05130358571444375,0.03693858171439949,-0.04512069564743951,0.0,0.0,0.00328,0.001569629903812913,7.623550222800507,-5.48895616041636,0.05594854780419056,0.0,0.0,0.0,0.0,9.39416244114055,0.0
0.026000000000000016,stiff,0,0,-0.001306243983256605,0.0009404956679447548,0.0033246435286407128,-0.03243541294321978,0.023353497319118236,-0.044742892267531295,0.0,0.0,0.0032499999999999994,0.0016095979141440672,7.547269108489591,-5.434033758112501,0.1889016899541065,0.0,0.0,0.0,0.0,9.301917959686328,0.0
0.027000000000000017,stiff,0,0,-0.001320238630835044,0.000950571814201231,0.0032805226548246304,-0.013994647578439025,0.010076146256476104,-0.04412087381608237,0.0,0.0,0.0032199999999999998,0.0016268425911264467,7.376306145912301,-5.310940425056853,0.3110092257244593,0.0,0.0,0.0,0.0,9.094652675897656,0.0
0.028000000000000018,stiff,0,0,-0.0013164404170715976,0.0009478371002915496,0.0032372431421554054,0.0037982137634463044,-0.002734713909681325,-0.04327951266922511,0.0,0.0,0.0031899999999999997,0.0016221623039599752,7.117144536754131,-5.124344066462971,0.42068057342862997,0.0,0.0,0.0,0.0,8.78006951073872,0.0
0.02900000000000002,stiff,0,0,-0.0012956993975055755,0.0009329035662040138,0.0031949969056368596,0.020741019566021993,-0.014933534087535809,-0.04224623651854581,0.0,0.0,0.0031599999999999996,0.0015966045197645152,6.777122321030275,-4.879528071141793,0.516638075339651,0.0,0.0,0.0,0.0,8.366964566206683,0.0
0.03000000000000002,stiff,0,0,-0.001259047631652452,0.000906514294789765,0.003153946514061889,0.036651765853123484,-0.026389271414248877,-0.04105039157497073,0.0,0.0,0.0031299999999999995,0.0015514409771009122,6.364298514840597,-4.582294930685227,0.5979224717875418,0.0,0.0,0.0,0.0,7.865064125616159,0.0
0.03100000000000002,stiff,0,0,-0.0012076775760512372,0.0008695278547568903,0.0031142239071620024,0.051370055601214805,-0.03698644003287462,-0.03972260689988638,0.0,0.0,0.0030999999999999995,0.0014881410611548597,5.887315899236528,-4.238867447450297,0.6638923375421756,0.0,0.0,0.0,0.0,7.28486367547837,0.0
0.03200000000000002,stiff,0,0,-0.001142919364463411,0.0008229019424136555,0.0030759297359195937,0.06475821158782621,-0.046625912343234835,-0.038294171242408796,0.0,0.0,0.0030699999999999994,0.001408343807631366,5.3552623946445665,-3.855788924144086,0.7142178287387918,0.0,0.0,0.0,0.0,6.6374732127470635,0.0
0.03300000000000002,stiff,0,0,-0.0010662173206590125,0.0007676764708744887,0.0030391333030202073,0.07670204380439838,-0.05522547153916679,-0.036796432899386604,0.0,0.0,0.0030399999999999993,0.0013138289610172221,4.777532886628865,-3.4398236783727816,0.7488691715110962,0.0,0.0,0.0,0.0,5.93447659504645,0.0
0.03400000000000002,stiff,0,0,-0.000979106043657245,0.000704956351433216,0.0030038730709088224,0.08711127700176761,-0.06272011944127265,-0.03526023211138469,0.0,0.0,0.0030099999999999997,0.0012064875060074907,4.163693278947695,-2.9978591608423395,0.7681003940009561,0.0,0.0,0.0,0.0,5.1878203018864255,0.0
0.035000000000000024,stiff,0,0,-0.0008831863955530127,0.0006358942047981689,0.0029701576965193164,0.09591964810423226,-0.06906214663504719,-0.03371537438950597,0.0,0.0,0.002979999999999999,0.0010882920788950997,3.523348440985856,-2.536810877509816,0.7724288609393617,0.0,0.0,0.0,0.0,4.409766434864965,0.0
0.036000000000000025,stiff,0,0,-0.0007801017084712817,0.0005616732300993227,0.002937967544558275,0.10308468708173096,-0.07422097469884625,-0.03219015196104134,0.0,0.0,0.0029499999999999995,0.0009612676489771302,2.866015590999485,-2.063531225519629,0.7626112142323154,0.0,0.0,0.0,0.0,3.6130018475804238,0.0
0.037000000000000026,stiff,0,0,-0.000671514510098102,0.00048349044727063334,0.002907256625305003,0.10858719837317973,-0.07818278282868937,-0.03071091925327198,0.0,0.0,0.0029199999999999994,0.0008274628389687667,2.2010045165795074,-1.5847232519372452,0.7396163538846784,0.0,0.0,0.0,0.0,2.8111920991222945,0.0
0.03800000000000003,stiff,0,0,-0.00055908404702044,0.00040254051385471676,0.0028779548982744243,0.11243046307766197,-0.08094993341591658,-0.029301727030578817,0.0,0.0,0.0028899999999999993,0.0006889222285041853,1.5373058817928953,-1.1068602348908847,0.7045961113465817,0.0,0.0,0.0,0.0,2.021114700827853,0.0
0.03900000000000003,stiff,0,0,-0.0004444448621700071,0.0003200003007624051,0.002849970879788618,0.1146391848504329,-0.08254021309231165,-0.027984018485806054,0.0,0.0,0.0028599999999999993,0.0005476599565399558,0.8834887091083723,-0.6361118705580286,0.6588542723863815,0.0,0.0,0.0,0.0,1.2725091603711938,0.0
