t_s,mode,success,in_contact,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,x_ref_m,y_ref_m,z_ref_m,lateral_error_m,control_fx_n,control_fy_n,control_fz_n,contact_fx_n,contact_fy_n,contact_fz_n,contact_force_n,total_force_n,penetration_m
0.001,stiff,0,0,0.003200000615076679,-0.0023998506272312455,0.019999890344857857,6.150766787412872e-07,0.00014937276875423493,-0.00010965514214488703,0.0032,-0.0024,0.02,1.493740351086724e-07,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.08109302638355623,0.0
0.002,stiff,0,0,0.0031995559031726068,-0.002399936133179899,0.019997233680746223,-0.00044471190407217355,-8.550594865371625e-05,-0.002656664111634808,0.0032,-0.0024,0.01994,4.486657584557168e-07,-1.2424548911095701e-05,-0.0030173299288359587,-1.0751751737456678,0.0,0.0,0.0,0.0,1.2893297226596756,0.0
0.003,stiff,0,0,0.0031991637114873006,-0.002399349528733284,0.01999029786805411,-0.0003921916853063309,0.0005866044466148691,-0.006935812692114291,0.0032,-0.0024,0.019880000000000002,1.0594769206056822e-06,0.00897936698684937,0.0008011089965274394,-2.041132986529475,0.0,0.0,0.0,0.0,2.1565010235434765,0.0
0.004,stiff,0,0,0.0031984879715330167,-0.0023985486167218423,0.0199777347491753,-0.0006757399542837363,0.000800912011441853,-0.012563118878808196,0.0032,-0.0024,0.01982,2.0958872834872403e-06,0.01067567237302591,-0.012245384106246118,-2.885030494978965,0.0,0.0,0.0,0.0,2.817242642409422,0.0
0.005,stiff,0,0,0.00319791202604287,-0.0023982634670939667,0.01995797476077889,-0.000575945490146612,0.00028514962787584534,-0.01975998839640624,0.0032,-0.0024,0.01976,2.7157285908923037e-06,0.018834935855270005,-0.020211344484762105,-3.5925843943063662,0.0,0.0,0.0,0.0,3.6045648664926015,0.0
0.006,stiff,0,0,0.003197736253838443,-0.0023986873212367525,0.01992977215408664,-0.00017577220442681807,-0.00042385414278586363,-0.02820260669224933,0.0032,-0.0024,0.0197,2.6168057282582782e-06,0.02100867539626001,-0.014758598807667151,-4.1297859957135,0.0,0.0,0.0,0.0,4.233852019519898,0.0
0.007,stiff,0,0,0.003196651110356775,-0.0023997614558752636,0.019891867591380154,-0.001085143481668165,-0.0010741346385111793,-0.03790456270648809,0.0032,-0.0024,0.01964,3.357374739576633e-06,0.016496037063630085,-0.0022046503331309957,-4.482630999561036,0.0,0.0,0.0,0.0,4.871545849156581,0.0
0.008,stiff,0,0,0.0031955383091208977,-0.0024014354164760823,0.019844815338388246,-0.001112801235877129,-0.001673960600818551,-0.04705225299190756,0.0032,-0.0024,0.01958,4.686907931725943e-06,0.035955124531350635,0.01355891136579198,-4.628098014474074,0.0,0.0,0.0,0.0,4.580147199743427,0.0
0.009000000000000001,stiff,0,0,0.0031946119876802145,-0.002403122004972808,0.01978750974648561,-0.0009263214406832282,-0.0016865884967256003,-0.05730559190263347,0.0032,-0.0024,0.01952,6.227165632003102e-06,0.04324170075271531,0.032335030563171246,-4.6233175131988515,0.0,0.0,0.0,0.0,5.127214562800623,0.0
0.010000000000000002,stiff,0,0,0.0031935322552329886,-0.00240472542226777,0.019721439018082834,-0.001079732447225956,-0.0016034172949622144,-0.06607072840277715,0.0032,-0.0024,0.01946,8.010077276777364e-06,0.046374176552236225,0.042968669785568764,-4.405230047272502,0.0,0.0,0.0,0.0,4.383124096834899,0.0
0.011000000000000003,stiff,0,0,0.0031918254955825517,-0.0024064383525502753,0.019646840755274796,-0.0017067596504370657,-0.0017129302825050615,-0.07459826280803741,0.0032,-0.0024,0.0194,1.0405522862044171e-05,0.0552162718166349,0.05174546018964722,-4.068063387018799,0.0,0.0,0.0,0.0,4.271362282867786,0.0
0.012000000000000004,stiff,0,0,0.0031899007587186377,-0.0024074610864966706,0.019564752321072753,-0.001924736863914117,-0.0010227339463950743,-0.08208843420204491,0.0032,-0.0024,0.01934,1.2556372333201134e-05,0.07457656249429939,0.06389880976677917,-3.583578761937369,0.0,0.0,0.0,0.0,3.7562599065530633,0.0
